"","id","GPL6480","GPL4","GPL1485","GPL9973","GPL8490","GPL6984","GPL11154","GPL5188","GPL9115","GPL16131","GPL16791","GPL3720","GPL570","GPL20301","GPL6017","GPL10850","GPL16700","GPL10904","GPL13534","GPL6801","GPL3921","GPL6244","GPL10999","GPL10558","GPL14550","GPL9052","GPL7504","GPL6883","GPL13393","GPL6884","GPL4133"
"11","CSES13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE64669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","CSES15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE51455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","CSES20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE64669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CSES21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE64669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","CSES22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE51455|GSE64669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","CSES25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE51455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CSES26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE51455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","CSES32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE64669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","CSES45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE51455|GSE64669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","CSES7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE51455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","CSES8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE21672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","CyT49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","H14.s3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE6561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","H9-WISP3KO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GSE230194|GSE230195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","HES-1",NA,NA,NA,NA,"GSE34200|GSE34869|NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","HES-2",NA,NA,NA,NA,"GSE34200|GSE34869|GSE35157","GSE34200|GSE34869|GSE35157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
