"","estimate","X2.5.","X97.5.","margpp","beta"
"FLI1",0.0331688808323255,0,0.105465868166934,0.414724712536708,0.0315211257388705
"FOXA1",0,0,0,1.45640816193034e-05,0
"FOXA2",5.06994260425886e-06,0,0,0.00145905962177645,0
"FOXO1",0,0,0,0.000174859207786022,0
"GABPA",0,0,0,3.73575189650521e-05,0
"GABPB1",0,0,0,2.54726978915041e-05,0
"GATA1",0,0,0,3.551386629928e-05,0
"GATA2",-8.75565916914832e-06,0,0,0.00109124211037666,0
"GATA3",0,0,0,3.78146919360133e-05,0
"GATAD1",0,0,0,7.49160042743453e-05,0
"GATAD2B",0,0,0,4.60816389267535e-05,0
"GLIS1",0,0,0,3.15841346262077e-05,0
"GPIHBP1",0,0,0,5.22729519555105e-06,0
"GRHL3",-0.00193958223501059,0,0,0.0488560902144854,-0.00239955941153163
"H2AZ1",0,0,0,0.00216712553468565,0
"HBP1",0,0,0,0.000405226771483087,0
"HCFC1",0,0,0,0.000276746560456542,0
"HDAC1",0,0,0,3.30023563249688e-05,0
"HDAC2",-0.00170258802585519,0,0,0.0139415467019715,-0.00355737150615523
"HDAC6",0,0,0,2.91867922963416e-05,0
"HDGFL3",0,0,0,0.000210876598466561,0
"HEXIM1",-0.14416082988395,-0.279622653748148,0,0.846593741784613,-0.14545398711392
"HEY1",0,0,0,2.66092173249089e-05,0
"HIF1A",0,0,0,1.38195190201333e-05,0
"HIF3A",0,0,0,1.33860700523721e-05,0
"HIRA",0,0,0,0.000258165196591713,0
"HNF4A",0,0,0,9.98943069216906e-05,0
"HOXA7",0,0,0,0.000154066873302509,0
"HOXC11",0,0,0,1.19707314232245e-05,0
"HSF1",0,0,0,3.78777302795666e-05,0
"ID2",0,0,0,4.65722698225617e-05,0
"IKZF1",0.000859939909947748,0,0,0.00596130722073695,0.00116324844795698
"INTS11",0.000420895489721411,0,0,0.0072060884768254,0.000188161811716997
"IRF2",0,0,0,5.13913819035958e-05,0
"IRF4",0.0808120722863457,0,0.13374393516758,0.910781248124148,0.0807468738344765
"JARID2",-9.45593967043352e-06,0,0,0.00144357067822127,0
"JMJD1C",0,0,0,4.80834012685927e-05,0
"JMJD6",0,0,0,2.32692300523304e-05,0
"JUN",0,0,0,0.000203656835225013,0
"KCNH2",0,0,0,0.000234624412620951,0
"KDM2B",0.0845644503666591,0,0.305902057970329,0.176265395794403,0.0820940312920607
"KDM4A",0,0,0,9.76493802138961e-05,0
"KDM4C",0,0,0,4.37311490815584e-05,0
"KDM5B",0,0,0,0.00021561548035635,0
"KDM6B",0,0,0,1.80177192523513e-05,0
"KLF10",0,0,0,3.5841437852472e-05,0
"KLF5",0,0,0,3.84016663998911e-05,0
"KLF9",0,0,0,5.16895150321171e-05,0
"KMT2A",0,0,0,0.000613498634467184,0
"KMT2B",0.00530653549378251,0,0,0.0419436263622503,0.00515261860010427
"LMNB1",0,0,0,9.11159901012505e-05,0
"LMO2",-0.00579097745444858,-0.0805387475697579,0,0.032580323631812,-0.00493884487422939
"LYL1",0,0,0,0.000226176077702828,0
"MAF",0,0,0,0.0001399085390066,0
"MAX",-0.246412277828934,-0.344924653073106,-0.140938874329284,0.971786494445855,-0.247742270366194
"MAZ",0,0,0,0.00012470329098523,0
"MBD2",0,0,0,2.03501992270617e-05,0
"MBD3",-7.45366960730246e-06,0,0,0.00018525713525562,0
"MBD4",0,0,0,2.23981943560099e-05,0
"MBL2",0,0,0,1.5499062313725e-05,0
"MCM7",0,0,0,5.55894191703973e-05,0
"MED1",0,0,0,0.000575730198025275,0
"MEIS1",-0.000165998320349711,0,0,0.00842323014335392,-0.000129631235256003
"MEN1",0.0011624394255653,0,0,0.0231860054228167,0.00192162179916308
"METTL3",0.0410267410721912,0,0.257238344755544,0.220917650985637,0.0373077830987289
"MITF",0,0,0,0.0001384788187522,0
"MTOR",0,0,0,0.000300901345374806,0
"MXD1",-3.6535757457201e-05,0,0,0.00099559906414047,0
"MXD4",-1.19577659671147e-05,0,0,0.000720235262041372,0
"MXI1",0,0,0,4.23461301935514e-05,0
"MYB",0,0,0,2.40791222592203e-05,0
"MYC",0.096900358003397,0.0667803894927688,0.126245727415619,0.997743743530734,0.096378383031098
"MYCN",0,0,0,7.62900632366742e-05,0
"MZF1",0.21826292481864,0.149497085576155,0.287083251078494,0.998159016945098,0.218495814551367
"NANOG",0,0,0,2.32342187797074e-05,0
"NCAPH2",0,0,0,3.41752501887735e-05,0
"NCOA2",0,0,0,0.00013029345657688,0
