"","estimate","X2.5.","X97.5.","margpp","beta"
"ZIC4",0,0,0,4.62893712308584e-06,0
"ZIC5",0,0,0,9.57279715092879e-06,0
"ZIM3",0,0,0,3.14866218517287e-06,0
"ZKSCAN1",0,0,0,6.865224254361e-05,0
"ZKSCAN3",0,0,0,5.49571524867866e-05,0
"ZKSCAN5",-0.000185151967344423,0,0,0.0066276816411133,-0.000303427910192536
"ZNF135",0,0,0,8.12815141630925e-05,0
"ZNF136",-0.000156876410066754,0,0,0.00237490352609865,-0.000135669772223235
"ZNF140",0,0,0,0.000254742737630077,0
"ZNF143",0,0,0,1.77078696519204e-05,0
"ZNF148",-0.00239276902253706,0,0,0.0198296245323845,-0.00266875455371508
"ZNF175",0,0,0,0.000618722836547146,0
"ZNF184",0,0,0,1.83632841338475e-05,0
"ZNF189",-0.258616281462569,-0.350702987488184,-0.133233861688242,0.951263839718418,-0.259928222596361
"ZNF211",0,0,0,1.41589991166769e-05,0
"ZNF213",0,0,0,4.69497930427552e-05,0
"ZNF214",0,0,0,1.17046198823141e-05,0
"ZNF24",0,0,0,0.000268798129189379,0
"ZNF257",0,0,0,3.12024841429715e-06,0
"ZNF263",0,0,0,0.00010633431719229,0
"ZNF274",0,0,0,2.73493630733001e-05,0
"ZNF281",0,0,0,2.73111089067568e-05,0
"ZNF282",4.2532269780761e-05,0,0,0.00235759004505952,0
"ZNF317",-2.00027728863489e-05,0,0,0.00123619077964034,0
"ZNF320",0,0,0,1.53142945515279e-05,0
"ZNF324",0,0,0,0.000133283081670288,0
"ZNF331",0,0,0,1.88053042718105e-05,0
"ZNF341",0,0,0,8.77365410496726e-05,0
"ZNF343",0.00122047874100131,0,0,0.0139527244327438,0.0015965429389724
"ZNF35",0,0,0,5.95333753578681e-06,0
"ZNF354A",0,0,0,5.30448478328512e-06,0
"ZNF354C",0,0,0,3.4274862567482e-05,0
"ZNF384",0,0,0,2.47283606757849e-05,0
"ZNF410",0,0,0,6.92913970518229e-05,0
"ZNF416",-0.000118488485045681,0,0,0.00161273006396807,0
"ZNF417",0,0,0,1.18273696808768e-05,0
"ZNF418",0,0,0,2.81103797968655e-05,0
"ZNF449",0,0,0,0.000311000544237624,0
"ZNF454",0,0,0,7.75211675554633e-06,0
"ZNF460",-0.000316606970335311,0,0,0.00293652788382515,-0.000165267545090004
"ZNF524",0,0,0,3.97940212366575e-05,0
"ZNF528",0,0,0,0.000118755132469666,0
"ZNF530",0,0,0,5.97209354076011e-06,0
"ZNF547",0,0,0,0.000586923709188696,0
"ZNF549",0,0,0,5.37029513468683e-06,0
"ZNF574",0,0,0,1.5932360598931e-05,0
"ZNF582",0,0,0,5.96634413543163e-05,0
"ZNF610",0,0,0,0.000266641380862218,0
"ZNF652",-0.00101459365700878,0,0,0.008416577222094,-0.00156767600645184
"ZNF667",0,0,0,0.000167614382163172,0
"ZNF669",0,0,0,5.19500548752574e-05,0
"ZNF675",0,0,0,5.52332506456489e-06,0
"ZNF677",0,0,0,2.37428924584968e-05,0
"ZNF680",0,0,0,5.0291404826087e-06,0
"ZNF682",0,0,0,4.01662388970599e-06,0
"ZNF684",0,0,0,1.01463462849212e-05,0
"ZNF692",0.291237562365001,0.207593330012476,0.374051050690616,0.999995485150555,0.292388029218388
"ZNF701",0,0,0,3.00286910242155e-05,0
"ZNF707",0,0,0,0.000255737877279343,0
"ZNF708",0,0,0,8.11641141563801e-06,0
"ZNF740",0,0,0,7.88889116512517e-05,0
"ZNF75A",0,0,0,8.66547959299493e-06,0
"ZNF75D",-0.00854703543445311,-0.193683750117324,0,0.0605030086522562,-0.0102250698879627
"ZNF76",0,0,0,2.54177429501524e-05,0
"ZNF766",0,0,0,0.00098422020266417,0
"ZNF768",-0.0131084993185724,-0.229919716451426,0,0.0949432341294376,-0.0100243183773189
"ZNF770",0,0,0,1.48468050289553e-05,0
"ZNF784",0,0,0,1.54245411284503e-05,0
"ZNF8",0,0,0,0.000695214782461977,0
"ZNF816",0,0,0,0.000913403737426845,0
"ZNF85",0,0,0,4.91207414234563e-06,0
"ZNF93",0,0,0,4.81558615876248e-06,0
"ZSCAN16",0,0,0,0.000258975376351524,0
"ZSCAN21",0,0,0,8.07780658429987e-05,0
"ZSCAN29",0,0,0,2.47128742503183e-05,0
"ZSCAN31",0,0,0,4.18815265963082e-05,0
"ZSCAN4",0,0,0,3.99802529362673e-06,0
